hour,window_hour,branch,from_bus,to_bus,flow_mw,limit_mw,loading
6328,16,10,Koolauloa,Koolaupoko,115.76856723813661,200.0,0.5788428361906831
6329,17,1,Kahe,Ewa-West,78.23292500756101,400.0,0.1955823125189025
6329,17,2,Kahe,Waianae,200.0,200.0,1.0
6329,17,3,Ewa-West,Ewa-Central,355.868715942821,400.0,0.8896717898570524
6329,17,4,Ewa-Central,Honolulu,370.7075260620953,600.0,0.6178458767701589
6329,17,5,Honolulu,Koolaupoko,-11.10134932040568,200.0,0.055506746602028395
6329,17,6,Waianae,Waialua,151.046362876483,200.0,0.7552318143824149
6329,17,7,Waialua,Wahiawa,-7.712623740937715,200.0,0.03856311870468858
6329,17,8,Wahiawa,Ewa-Central,-46.96478206516772,400.0,0.1174119551629193
6329,17,9,Waialua,Koolauloa,145.9788132825787,200.0,0.7298940664128934
6329,17,10,Koolauloa,Koolaupoko,125.34916588616768,200.0,0.6267458294308385
6330,18,1,Kahe,Ewa-West,48.320438814600486,400.0,0.12080109703650121
6330,18,2,Kahe,Waianae,200.0,200.0,1.0
6330,18,3,Ewa-West,Ewa-Central,323.5284604536205,400.0,0.8088211511340512
6330,18,4,Ewa-Central,Honolulu,406.62275333630475,600.0,0.6777045888938412
6330,18,5,Honolulu,Koolaupoko,-7.866175368672265,200.0,0.039330876843361326
6330,18,6,Waianae,Waialua,146.856288798391,200.0,0.734281443991955
6330,18,7,Waialua,Wahiawa,-21.305940026436275,200.0,0.10652970013218138
6330,18,8,Wahiawa,Ewa-Central,-63.91779664414627,400.0,0.15979449161036569
6330,18,9,Waialua,Koolauloa,154.28816592119327,200.0,0.7714408296059664
6330,18,10,Koolauloa,Koolaupoko,131.89277126114627,200.0,0.6594638563057313
6331,19,1,Kahe,Ewa-West,42.95919551913246,400.0,0.10739798879783115
6331,19,2,Kahe,Waianae,200.0,200.0,1.0
6331,19,3,Ewa-West,Ewa-Central,317.7320857625724,400.0,0.794330214406431
6331,19,4,Ewa-Central,Honolulu,413.0598736140029,600.0,0.6884331226900049
6331,19,5,Honolulu,Koolaupoko,-7.286332070241041,200.0,0.03643166035120521
6331,19,6,Waianae,Waialua,146.105297843852,200.0,0.7305264892192599
6331,19,7,Waialua,Wahiawa,-23.742283008049043,200.0,0.11871141504024521
6331,19,8,Wahiawa,Ewa-Central,-66.95630154016904,400.0,0.1673907538504226
6331,19,9,Waialua,Koolauloa,155.77745908245302,200.0,0.7788872954122651
6331,19,10,Koolauloa,Koolaupoko,133.06558786416903,200.0,0.6653279393208451
6332,20,1,Kahe,Ewa-West,48.8758794760953,400.0,0.12218969869023825
6332,20,2,Kahe,Waianae,200.0,200.0,1.0
6332,20,3,Ewa-West,Ewa-Central,324.1289820146153,400.0,0.8103224550365382
6332,20,4,Ewa-Central,Honolulu,405.95584863750327,600.0,0.6765930810625055
6332,20,5,Honolulu,Koolaupoko,-7.926248849298722,200.0,0.03963124424649361
6332,20,6,Waianae,Waialua,146.934093682366,200.0,0.73467046841183
6332,20,7,Waialua,Wahiawa,-21.053527687962685,200.0,0.10526763843981342
6332,20,8,Wahiawa,Ewa-Central,-63.60299855042268,400.0,0.1590074963760567
6332,20,9,Waialua,Koolauloa,154.1338707450447,200.0,0.7706693537252235
6332,20,10,Koolauloa,Koolaupoko,131.77126399242272,200.0,0.6588563199621136
6333,21,1,Kahe,Ewa-West,65.46915242725821,400.0,0.1636728810681455
6333,21,2,Kahe,Waianae,200.0,200.0,1.0
6333,21,3,Ewa-West,Ewa-Central,342.0690048927182,400.0,0.8551725122317956
6333,21,4,Ewa-Central,Honolulu,386.03269128376047,600.0,0.6433878188062675
6333,21,5,Honolulu,Koolaupoko,-9.720888187510536,200.0,0.04860444093755268
6333,21,6,Waianae,Waialua,149.25844219739298,200.0,0.7462922109869649
6333,21,7,Waialua,Wahiawa,-13.51294393368255,200.0,0.06756471966841275
6333,21,8,Wahiawa,Ewa-Central,-54.19869840501255,400.0,0.13549674601253137
6333,21,9,Waialua,Koolauloa,149.52444592189352,200.0,0.7476222296094676
6333,21,10,Koolauloa,Koolaupoko,128.14134739601252,200.0,0.6407067369800626
6334,22,1,Kahe,Ewa-West,84.44175146500555,400.0,0.2111043786625139
6334,22,2,Kahe,Waianae,200.0,200.0,1.0
6334,22,3,Ewa-West,Ewa-Central,362.5814656830656,400.0,0.9064536642076639
6334,22,4,Ewa-Central,Honolulu,363.25273237203686,600.0,0.6054212206200614
